dataset,model,setup,accuracy,precision,recall,f1,roc_auc
ethereum,Random Forest,simple,0.9467455621301775,0.9328358208955224,0.7552870090634441,0.8347245409015025,0.9809131854921624
ethereum,Random Forest,simple_balanced,0.9483593329747176,0.9467680608365019,0.7522658610271903,0.8383838383838383,0.9812058097783964
ethereum,Random Forest,smote,0.9435180204410973,0.8553459119496856,0.8217522658610272,0.8382126348228043,0.9787481612122554
ethereum,XGBoost,simple,0.9569661108122647,0.9530685920577617,0.797583081570997,0.868421052631579,0.9882169295012733
ethereum,XGBoost,simple_balanced,0.9601936525013448,0.8905775075987842,0.8851963746223565,0.8878787878787879,0.9882287926480126
ethereum,XGBoost,smote,0.9537385691231846,0.8938906752411575,0.8398791540785498,0.8660436137071651,0.9848616361651983
ethereum,LightGBM,simple,0.9596557288864981,0.9571428571428572,0.8096676737160121,0.8772504091653028,0.9866806519985448
ethereum,LightGBM,simple_balanced,0.9639591178052717,0.9258064516129032,0.8670694864048338,0.8954758190327613,0.9883632416443903
ethereum,LightGBM,smote,0.958041958041958,0.9147540983606557,0.8429003021148036,0.8773584905660378,0.9846500767150155
ethereum,Logistic Regression,scaled,0.8224852071005917,0.6,0.00906344410876133,0.017857142857142856,0.775357476155075
ethereum,Logistic Regression,scaled_balanced,0.5535233996772458,0.2598652550529355,0.8157099697885196,0.39416058394160586,0.7693784501985099
ethereum,Logistic Regression,scaled_smote,0.5551371705217859,0.2601547388781431,0.8126888217522659,0.3941391941391941,0.7717510795463532
ethereum,Linear SVC,scaled,0.8197955890263583,0.0,0.0,0.0,
ethereum,Linear SVC,scaled_balanced,0.5422270037654653,0.2551789077212806,0.8187311178247734,0.38908829863603733,
ethereum,Linear SVC,scaled_smote,0.5443786982248521,0.25521821631878555,0.8126888217522659,0.3884476534296029,
