time_step,n_samples,n_positives,precision,recall,f1,roc_auc
40,1208,112,0.09420916162489196,0.9732142857142857,0.17178881008668243,0.4083273592283629
41,1127,116,0.1076923076923077,0.8448275862068966,0.19103313840155944,0.3183260002046454
42,2142,239,0.12061068702290076,0.9916317991631799,0.2150635208711434,0.572742443664155
43,1327,24,0.019736842105263157,1.0,0.03870967741935484,0.5370619084164748
44,1578,24,0.022058823529411766,1.0,0.04316546762589928,0.6999007936507937
45,1198,5,0.004570383912248629,1.0,0.009099181073703366,0.44803017602682316
46,711,2,0.0030120481927710845,1.0,0.006006006006006006,0.8000705218617772
47,836,22,0.028314028314028315,1.0,0.05506883604505632,0.5965211078847443
48,471,36,0.08888888888888889,1.0,0.16326530612244897,0.7348659003831418
49,476,56,0.1568627450980392,1.0,0.2711864406779661,0.8154124149659864
