time_step,n_samples,n_positives,precision,recall,f1,roc_auc,model,setup,seed
40,1208,112,0.9538461538461539,0.5535714285714286,0.7005649717514124,0.9123435870698644,GraphSAGE,simple,42
41,1127,116,0.9339622641509434,0.853448275862069,0.8918918918918919,0.9674869538524505,GraphSAGE,simple,42
42,2142,239,0.885,0.7405857740585774,0.806378132118451,0.9238418968508212,GraphSAGE,simple,42
43,1327,24,0.0,0.0,0.0,0.7471540035814785,GraphSAGE,simple,42
44,1578,24,0.0,0.0,0.0,0.7181467181467182,GraphSAGE,simple,42
45,1198,5,0.0,0.0,0.0,0.7077954735959766,GraphSAGE,simple,42
46,711,2,0.0,0.0,0.0,0.40126939351198876,GraphSAGE,simple,42
47,836,22,0.0,0.0,0.0,0.7572593254411437,GraphSAGE,simple,42
48,471,36,0.0,0.0,0.0,0.869029374201788,GraphSAGE,simple,42
49,476,56,0.0,0.0,0.0,0.7744047619047619,GraphSAGE,simple,42
40,1208,112,0.7922077922077922,0.5446428571428571,0.6455026455026455,0.8324019160583942,GraphSAGE,simple,43
41,1127,116,0.9107142857142857,0.8793103448275862,0.8947368421052632,0.9568794979364916,GraphSAGE,simple,43
42,2142,239,0.7743362831858407,0.7322175732217573,0.7526881720430108,0.939381113722662,GraphSAGE,simple,43
43,1327,24,0.0,0.0,0.0,0.6639805576873881,GraphSAGE,simple,43
44,1578,24,0.0,0.0,0.0,0.5275096525096525,GraphSAGE,simple,43
45,1198,5,0.0,0.0,0.0,0.6534786253143336,GraphSAGE,simple,43
46,711,2,0.0,0.0,0.0,0.5169252468265162,GraphSAGE,simple,43
47,836,22,0.0,0.0,0.0,0.6303328121509939,GraphSAGE,simple,43
48,471,36,0.0,0.0,0.0,0.889272030651341,GraphSAGE,simple,43
49,476,56,0.0,0.0,0.0,0.8018707482993197,GraphSAGE,simple,43
40,1208,112,0.5714285714285714,0.07142857142857142,0.12698412698412698,0.7139598540145985,GraphSAGE,simple,44
41,1127,116,0.8333333333333334,0.04310344827586207,0.08196721311475409,0.6669352638220949,GraphSAGE,simple,44
42,2142,239,0.5909090909090909,0.05439330543933055,0.09961685823754789,0.8514721305492098,GraphSAGE,simple,44
43,1327,24,0.0,0.0,0.0,0.7320286518291124,GraphSAGE,simple,44
44,1578,24,0.0,0.0,0.0,0.539039039039039,GraphSAGE,simple,44
45,1198,5,0.0,0.0,0.0,0.5802179379715005,GraphSAGE,simple,44
46,711,2,0.0,0.0,0.0,0.4379407616361072,GraphSAGE,simple,44
47,836,22,0.0,0.0,0.0,0.5631002903730177,GraphSAGE,simple,44
48,471,36,0.0,0.0,0.0,0.828544061302682,GraphSAGE,simple,44
49,476,56,1.0,0.017857142857142856,0.03508771929824561,0.6781887755102041,GraphSAGE,simple,44
40,1208,112,0.8484848484848485,0.5,0.6292134831460674,0.8112047054223148,GraphSAGE,simple,45
41,1127,116,0.8762886597938144,0.7327586206896551,0.7981220657276995,0.894675807496845,GraphSAGE,simple,45
42,2142,239,0.8457142857142858,0.6192468619246861,0.714975845410628,0.9433926172504546,GraphSAGE,simple,45
43,1327,24,0.0,0.0,0.0,0.7655090816065491,GraphSAGE,simple,45
44,1578,24,0.0,0.0,0.0,0.6170634920634921,GraphSAGE,simple,45
45,1198,5,0.0,0.0,0.0,0.6318524727577536,GraphSAGE,simple,45
46,711,2,0.0,0.0,0.0,0.5260930888575459,GraphSAGE,simple,45
47,836,22,0.125,0.045454545454545456,0.06666666666666667,0.6648425284788921,GraphSAGE,simple,45
48,471,36,0.0,0.0,0.0,0.8517241379310345,GraphSAGE,simple,45
49,476,56,0.0,0.0,0.0,0.7388180272108844,GraphSAGE,simple,45
40,1208,112,0.7011494252873564,0.5446428571428571,0.6130653266331658,0.8312288190823776,GraphSAGE,simple,46
41,1127,116,0.8782608695652174,0.8706896551724138,0.8744588744588745,0.9528036426890413,GraphSAGE,simple,46
42,2142,239,0.590443686006826,0.7238493723849372,0.650375939849624,0.9169578094046618,GraphSAGE,simple,46
43,1327,24,0.0,0.0,0.0,0.7468981836786902,GraphSAGE,simple,46
44,1578,24,0.0,0.0,0.0,0.5052016302016302,GraphSAGE,simple,46
45,1198,5,0.0,0.0,0.0,0.6657166806370495,GraphSAGE,simple,46
46,711,2,0.0,0.0,0.0,0.4315937940761636,GraphSAGE,simple,46
47,836,22,0.09090909090909091,0.045454545454545456,0.06060606060606061,0.6418918918918919,GraphSAGE,simple,46
48,471,36,0.0,0.0,0.0,0.8363346104725415,GraphSAGE,simple,46
49,476,56,0.0,0.0,0.0,0.646343537414966,GraphSAGE,simple,46
