time_step,n_samples,n_positives,precision,recall,f1,roc_auc,model,setup,seed
40,1208,112,0.6554621848739496,0.6964285714285714,0.6753246753246753,0.9030484228362877,GraphSAGE,simple_balanced,42
41,1127,116,0.7410071942446043,0.8879310344827587,0.807843137254902,0.9586530918517003,GraphSAGE,simple_balanced,42
42,2142,239,0.7386363636363636,0.8158995815899581,0.7753479125248509,0.946791786586693,GraphSAGE,simple_balanced,42
43,1327,24,0.04,0.041666666666666664,0.04081632653061224,0.7537413660782809,GraphSAGE,simple_balanced,42
44,1578,24,0.0,0.0,0.0,0.7367277992277993,GraphSAGE,simple_balanced,42
45,1198,5,0.0,0.0,0.0,0.6970662196144174,GraphSAGE,simple_balanced,42
46,711,2,0.0,0.0,0.0,0.6015514809590974,GraphSAGE,simple_balanced,42
47,836,22,0.05263157894736842,0.045454545454545456,0.04878048780487805,0.7323542550815278,GraphSAGE,simple_balanced,42
48,471,36,0.25,0.027777777777777776,0.05,0.8639208173690932,GraphSAGE,simple_balanced,42
49,476,56,0.125,0.017857142857142856,0.03125,0.7722789115646258,GraphSAGE,simple_balanced,42
40,1208,112,0.6697247706422018,0.6517857142857143,0.6606334841628959,0.894380539624609,GraphSAGE,simple_balanced,43
41,1127,116,0.7407407407407407,0.8620689655172413,0.796812749003984,0.9483995020294008,GraphSAGE,simple_balanced,43
42,2142,239,0.7489711934156379,0.7615062761506276,0.7551867219917012,0.9070439319550501,GraphSAGE,simple_balanced,43
43,1327,24,0.0,0.0,0.0,0.7304937324123817,GraphSAGE,simple_balanced,43
44,1578,24,0.013333333333333334,0.041666666666666664,0.020202020202020204,0.5784802659802659,GraphSAGE,simple_balanced,43
45,1198,5,0.0,0.0,0.0,0.694048616932104,GraphSAGE,simple_balanced,43
46,711,2,0.0,0.0,0.0,0.4739069111424542,GraphSAGE,simple_balanced,43
47,836,22,0.0,0.0,0.0,0.7427406745588563,GraphSAGE,simple_balanced,43
48,471,36,0.0,0.0,0.0,0.8798212005108557,GraphSAGE,simple_balanced,43
49,476,56,0.16666666666666666,0.017857142857142856,0.03225806451612903,0.8028061224489796,GraphSAGE,simple_balanced,43
40,1208,112,0.25,0.7053571428571429,0.3691588785046729,0.8012822601668406,GraphSAGE,simple_balanced,44
41,1127,116,0.23796791443850268,0.7672413793103449,0.363265306122449,0.7932057710017394,GraphSAGE,simple_balanced,44
42,2142,239,0.3653516295025729,0.891213389121339,0.5182481751824818,0.8821767875870954,GraphSAGE,simple_balanced,44
43,1327,24,0.046511627906976744,0.5,0.0851063829787234,0.7735194423126119,GraphSAGE,simple_balanced,44
44,1578,24,0.016666666666666666,0.4166666666666667,0.03205128205128205,0.595734126984127,GraphSAGE,simple_balanced,44
45,1198,5,0.008097165991902834,0.4,0.015873015873015872,0.7044425817267393,GraphSAGE,simple_balanced,44
46,711,2,0.0,0.0,0.0,0.42665726375176305,GraphSAGE,simple_balanced,44
47,836,22,0.06358381502890173,0.5,0.11282051282051282,0.755249050703596,GraphSAGE,simple_balanced,44
48,471,36,0.02857142857142857,0.027777777777777776,0.028169014084507043,0.8455300127713921,GraphSAGE,simple_balanced,44
49,476,56,0.06666666666666667,0.07142857142857142,0.06896551724137931,0.7464710884353742,GraphSAGE,simple_balanced,44
40,1208,112,0.5099337748344371,0.6875,0.5855513307984791,0.8992358576642335,GraphSAGE,simple_balanced,45
41,1127,116,0.5375722543352601,0.8017241379310345,0.643598615916955,0.9263574814966404,GraphSAGE,simple_balanced,45
42,2142,239,0.5878787878787879,0.8117154811715481,0.6818980667838312,0.932834524654971,GraphSAGE,simple_balanced,45
43,1327,24,0.056074766355140186,0.25,0.0916030534351145,0.7645817344589408,GraphSAGE,simple_balanced,45
44,1578,24,0.01646090534979424,0.16666666666666666,0.0299625468164794,0.6412483912483912,GraphSAGE,simple_balanced,45
45,1198,5,0.0,0.0,0.0,0.6789606035205364,GraphSAGE,simple_balanced,45
46,711,2,0.0,0.0,0.0,0.7115655853314528,GraphSAGE,simple_balanced,45
47,836,22,0.075,0.13636363636363635,0.0967741935483871,0.7687067232521778,GraphSAGE,simple_balanced,45
48,471,36,0.14285714285714285,0.027777777777777776,0.046511627906976744,0.8644316730523627,GraphSAGE,simple_balanced,45
49,476,56,0.10526315789473684,0.03571428571428571,0.05333333333333334,0.7545493197278912,GraphSAGE,simple_balanced,45
40,1208,112,0.50625,0.7232142857142857,0.5955882352941176,0.8978183654848799,GraphSAGE,simple_balanced,46
41,1127,116,0.5872093023255814,0.8706896551724138,0.7013888888888888,0.9556175176506703,GraphSAGE,simple_balanced,46
42,2142,239,0.5409836065573771,0.8284518828451883,0.6545454545454545,0.9351827218419715,GraphSAGE,simple_balanced,46
43,1327,24,0.016666666666666666,0.041666666666666664,0.023809523809523808,0.7454911742133538,GraphSAGE,simple_balanced,46
44,1578,24,0.024844720496894408,0.16666666666666666,0.043243243243243246,0.6212730587730588,GraphSAGE,simple_balanced,46
45,1198,5,0.0,0.0,0.0,0.6885163453478625,GraphSAGE,simple_balanced,46
46,711,2,0.0,0.0,0.0,0.46050775740479544,GraphSAGE,simple_balanced,46
47,836,22,0.02127659574468085,0.045454545454545456,0.028985507246376812,0.7196225150770605,GraphSAGE,simple_balanced,46
48,471,36,0.07692307692307693,0.027777777777777776,0.04081632653061224,0.8520434227330779,GraphSAGE,simple_balanced,46
49,476,56,0.09090909090909091,0.03571428571428571,0.05128205128205128,0.7860969387755101,GraphSAGE,simple_balanced,46
