time_step,n_samples,n_positives,precision,recall,f1,roc_auc,model,setup,seed
40,1208,112,0.19306930693069307,0.6964285714285714,0.3023255813953488,0.7798243613138687,GCN,simple_balanced,42
41,1127,116,0.20335429769392033,0.8362068965517241,0.327150084317032,0.7763054674443194,GCN,simple_balanced,42
42,2142,239,0.32098765432098764,0.8702928870292888,0.4689966178128523,0.8798901536222262,GCN,simple_balanced,42
43,1327,24,0.032432432432432434,0.5,0.06091370558375635,0.7276797134817089,GCN,simple_balanced,42
44,1578,24,0.021136063408190225,0.6666666666666666,0.040973111395646605,0.6008151008151008,GCN,simple_balanced,42
45,1198,5,0.005649717514124294,0.4,0.011142061281337047,0.6266554903604359,GCN,simple_balanced,42
46,711,2,0.006896551724137931,0.5,0.013605442176870748,0.8935119887165022,GCN,simple_balanced,42
47,836,22,0.044444444444444446,0.45454545454545453,0.08097165991902834,0.7011949966495421,GCN,simple_balanced,42
48,471,36,0.24285714285714285,0.4722222222222222,0.32075471698113206,0.8327586206896552,GCN,simple_balanced,42
49,476,56,0.21904761904761905,0.4107142857142857,0.2857142857142857,0.7240221088435375,GCN,simple_balanced,42
40,1208,112,0.20348837209302326,0.625,0.30701754385964913,0.7396539363920751,GCN,simple_balanced,43
41,1127,116,0.2082018927444795,0.5689655172413793,0.30484988452655887,0.7251867389747263,GCN,simple_balanced,43
42,2142,239,0.37595419847328243,0.8242677824267782,0.5163826998689384,0.894785155348195,GCN,simple_balanced,43
43,1327,24,0.026402640264026403,0.3333333333333333,0.04892966360856269,0.7025134305448963,GCN,simple_balanced,43
44,1578,24,0.03592814371257485,0.5,0.0670391061452514,0.6768018018018018,GCN,simple_balanced,43
45,1198,5,0.0,0.0,0.0,0.6005029337803856,GCN,simple_balanced,43
46,711,2,0.0036101083032490976,0.5,0.007168458781362007,0.7401269393511989,GCN,simple_balanced,43
47,836,22,0.023121387283236993,0.18181818181818182,0.041025641025641026,0.5971632789814608,GCN,simple_balanced,43
48,471,36,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.769316730523627,GCN,simple_balanced,43
49,476,56,0.2289156626506024,0.3392857142857143,0.2733812949640288,0.6521683673469387,GCN,simple_balanced,43
40,1208,112,0.17972350230414746,0.6964285714285714,0.2857142857142857,0.7336499608967675,GCN,simple_balanced,44
41,1127,116,0.18220338983050846,0.7413793103448276,0.2925170068027211,0.7339609127187149,GCN,simple_balanced,44
42,2142,239,0.20932539682539683,0.8828451882845189,0.3384121892542101,0.8449750119278743,GCN,simple_balanced,44
43,1327,24,0.0332541567695962,0.5833333333333334,0.06292134831460675,0.7322524942440521,GCN,simple_balanced,44
44,1578,24,0.015133876600698487,0.5416666666666666,0.02944507361268403,0.6234984984984985,GCN,simple_balanced,44
45,1198,5,0.005865102639296188,0.4,0.011560693641618497,0.6529756915339481,GCN,simple_balanced,44
46,711,2,0.006024096385542169,0.5,0.011904761904761904,0.7648095909732018,GCN,simple_balanced,44
47,836,22,0.038461538461538464,0.45454545454545453,0.07092198581560284,0.6290484699575609,GCN,simple_balanced,44
48,471,36,0.1791044776119403,0.3333333333333333,0.23300970873786409,0.7803320561941252,GCN,simple_balanced,44
49,476,56,0.26785714285714285,0.5357142857142857,0.35714285714285715,0.6962585034013606,GCN,simple_balanced,44
40,1208,112,0.27918781725888325,0.49107142857142855,0.3559870550161812,0.7931520464025026,GCN,simple_balanced,45
41,1127,116,0.2549019607843137,0.4482758620689655,0.325,0.7660390872812852,GCN,simple_balanced,45
42,2142,239,0.4092140921409214,0.6317991631799164,0.4967105263157895,0.8669684730342093,GCN,simple_balanced,45
43,1327,24,0.03076923076923077,0.16666666666666666,0.05194805194805195,0.7302698899974418,GCN,simple_balanced,45
44,1578,24,0.017632241813602016,0.2916666666666667,0.0332541567695962,0.5468146718146718,GCN,simple_balanced,45
45,1198,5,0.0,0.0,0.0,0.5751886001676446,GCN,simple_balanced,45
46,711,2,0.015873015873015872,0.5,0.03076923076923077,0.8519040902679831,GCN,simple_balanced,45
47,836,22,0.0,0.0,0.0,0.6694214876033058,GCN,simple_balanced,45
48,471,36,0.08,0.05555555555555555,0.06557377049180328,0.8204980842911878,GCN,simple_balanced,45
49,476,56,0.08163265306122448,0.07142857142857142,0.0761904761904762,0.7505952380952381,GCN,simple_balanced,45
40,1208,112,0.24154589371980675,0.44642857142857145,0.31347962382445144,0.795571558915537,GCN,simple_balanced,46
41,1127,116,0.25,0.46551724137931033,0.3253012048192771,0.8189228827722635,GCN,simple_balanced,46
42,2142,239,0.43765281173594134,0.7489539748953975,0.5524691358024691,0.8648313497516583,GCN,simple_balanced,46
43,1327,24,0.012195121951219513,0.08333333333333333,0.02127659574468085,0.7128421591199795,GCN,simple_balanced,46
44,1578,24,0.020942408376963352,0.3333333333333333,0.03940886699507389,0.5899024024024024,GCN,simple_balanced,46
45,1198,5,0.0,0.0,0.0,0.5887678122380554,GCN,simple_balanced,46
46,711,2,0.014925373134328358,0.5,0.028985507246376812,0.7235543018335684,GCN,simple_balanced,46
47,836,22,0.02197802197802198,0.09090909090909091,0.035398230088495575,0.6369220460129551,GCN,simple_balanced,46
48,471,36,0.045454545454545456,0.027777777777777776,0.034482758620689655,0.8042784163473818,GCN,simple_balanced,46
49,476,56,0.14705882352941177,0.08928571428571429,0.1111111111111111,0.7741496598639456,GCN,simple_balanced,46
