feature,mean_abs_shap,lightgbm_internal_importance,shap_rank,internal_rank,rank_difference
Local_feature_61,0.9422274586926236,131,1.0,17.0,16.0
size,0.795595032210699,187,2.0,5.0,3.0
Local_feature_59,0.733297278372763,168,3.0,9.0,6.0
Local_feature_46,0.373356981662725,164,4.0,12.0,8.0
Local_feature_53,0.3728891502190842,363,5.0,2.0,3.0
Local_feature_3,0.360918538964611,171,6.0,7.0,1.0
Local_feature_5,0.3208269374764638,73,7.0,47.0,40.0
Local_feature_52,0.2879955408426059,246,8.0,3.0,5.0
Local_feature_58,0.2552616488067489,169,9.0,8.0,1.0
Aggregate_feature_68,0.19910127982223785,92,10.0,28.0,18.0
Local_feature_29,0.1871194114090035,59,11.0,54.0,43.0
Local_feature_16,0.18107062429442577,113,12.0,19.0,7.0
Aggregate_feature_70,0.1726286138432497,86,13.0,33.0,20.0
Local_feature_55,0.17237235362071165,206,14.0,4.0,10.0
Aggregate_feature_32,0.15695947324744225,107,15.0,22.0,7.0
Local_feature_2,0.1491337781129281,452,16.0,1.0,15.0
Local_feature_76,0.14842342961531532,36,17.0,76.0,59.0
Local_feature_90,0.13931006081310876,130,18.0,18.0,0.0
Aggregate_feature_34,0.1354641680771633,137,19.0,16.0,3.0
Aggregate_feature_4,0.13150538291885713,85,20.0,35.0,15.0
Local_feature_80,0.12970022234124234,103,21.0,25.0,4.0
Local_feature_88,0.12937037860684425,168,22.0,9.0,13.0
Aggregate_feature_45,0.11904211729683804,168,23.0,9.0,14.0
Aggregate_feature_28,0.11839688345118043,68,24.0,49.0,25.0
Local_feature_23,0.11360225006859775,83,25.0,38.0,13.0
Aggregate_feature_43,0.10846995910370034,92,26.0,28.0,2.0
Aggregate_feature_31,0.103904687003264,44,27.0,71.0,44.0
Aggregate_feature_13,0.10012620165597401,177,28.0,6.0,22.0
Aggregate_feature_69,0.09422977114153945,26,29.0,94.0,65.0
Local_feature_83,0.09250847620416625,59,30.0,54.0,24.0
Local_feature_89,0.08294938883176142,83,31.0,38.0,7.0
Local_feature_49,0.08217629401905632,84,32.0,36.0,4.0
Local_feature_18,0.07891290939789974,79,33.0,40.0,7.0
fees,0.07665586228625,138,34.0,15.0,19.0
Local_feature_41,0.07654894792573587,75,35.0,42.0,7.0
Aggregate_feature_46,0.07595586875144503,103,36.0,25.0,11.0
Aggregate_feature_8,0.07402936574304499,91,37.0,30.0,7.0
Aggregate_feature_44,0.0728892726645508,144,38.0,13.0,25.0
Aggregate_feature_40,0.07047720532743532,89,39.0,31.0,8.0
Local_feature_35,0.0697635522439812,24,40.0,98.0,58.0
Aggregate_feature_38,0.06962078045547726,79,41.0,40.0,1.0
num_output_addresses,0.06628451539767304,13,42.0,123.0,81.0
Local_feature_64,0.0651956197530277,52,43.0,61.0,18.0
in_BTC_median,0.0646249797759914,71,44.0,48.0,4.0
Local_feature_8,0.06164894704528101,74,45.0,43.0,2.0
Aggregate_feature_64,0.0609994710915423,68,46.0,49.0,3.0
Aggregate_feature_7,0.05993048276214023,105,47.0,23.0,24.0
Aggregate_feature_9,0.05957446136936205,143,48.0,14.0,34.0
Aggregate_feature_71,0.05848200796878367,74,49.0,43.0,6.0
