feature,mean_abs_shap,lightgbm_internal_importance,shap_rank,internal_rank,rank_difference
fees_min,0.7076258288178676,1083,1.0,1.0,0.0
transacted_w_address_total,0.5707209220637371,524,2.0,5.0,3.0
first_sent_block,0.43034250538372004,395,3.0,7.0,4.0
fees_as_share_min,0.3364138387043412,331,4.0,9.0,5.0
fees_as_share_total,0.28521561252870686,207,5.0,14.0,9.0
fees_max,0.2818513984764731,831,6.0,4.0,2.0
fees_as_share_max,0.26661447869608706,361,7.0,8.0,1.0
first_block_appeared_in,0.2660221897631682,998,8.0,2.0,6.0
last_block_appeared_in,0.2445135511506707,853,9.0,3.0,6.0
btc_transacted_total,0.2297075784880006,240,10.0,13.0,3.0
fees_median,0.19477107633904953,330,11.0,10.0,1.0
lifetime_in_blocks,0.17187347758688934,67,12.0,26.0,14.0
fees_total,0.12657948594838014,498,13.0,6.0,7.0
first_received_block,0.12250404072688025,308,14.0,11.0,3.0
fees_as_share_mean,0.1214377926651079,108,15.0,17.0,2.0
fees_mean,0.10874553293407695,263,16.0,12.0,4.0
fees_as_share_median,0.09500833326646274,105,17.0,18.0,1.0
btc_transacted_min,0.08146729698740993,149,18.0,15.0,3.0
btc_transacted_max,0.07936970297956002,118,19.0,16.0,3.0
btc_transacted_median,0.07740376771688183,69,20.0,25.0,5.0
btc_received_mean,0.0693630372120305,72,21.0,23.0,2.0
btc_received_max,0.06452780640325252,56,22.0,32.0,10.0
total_txs,0.05239597043249856,61,23.0,30.0,7.0
btc_received_median,0.05201022847676656,75,24.0,22.0,2.0
btc_transacted_mean,0.05170460086455311,83,25.0,20.0,5.0
btc_received_min,0.04770046855087206,87,26.0,19.0,7.0
btc_sent_median,0.03892250640538529,57,27.0,31.0,4.0
btc_sent_total,0.03165407909284901,50,28.0,33.0,5.0
btc_received_total,0.030681219659186753,80,29.0,21.0,8.0
btc_sent_mean,0.027401024558884192,63,30.0,27.0,3.0
btc_sent_min,0.024792825614312584,62,31.0,29.0,2.0
blocks_btwn_output_txs_total,0.02139101614829877,16,32.0,40.0,8.0
transacted_w_address_mean,0.02003711056327851,33,33.0,35.0,2.0
blocks_btwn_txs_median,0.01991996153488688,30,34.0,36.0,2.0
blocks_btwn_txs_min,0.019703970860735106,70,35.0,24.0,11.0
blocks_btwn_txs_mean,0.019662694892299902,44,36.0,34.0,2.0
num_txs_as receiver,0.016393399389202055,63,37.0,27.0,10.0
num_addr_transacted_multiple,0.01388652840108146,18,38.0,39.0,1.0
btc_sent_max,0.009428475923710954,26,39.0,37.0,2.0
num_txs_as_sender,0.004681181423395554,16,40.0,40.0,0.0
blocks_btwn_txs_max,0.004025889601387602,13,41.0,42.0,1.0
blocks_btwn_input_txs_median,0.004011341521997625,20,42.0,38.0,4.0
blocks_btwn_output_txs_mean,0.0031699854244917674,10,43.0,45.0,2.0
blocks_btwn_txs_total,0.002211511024922724,4,44.0,49.0,5.0
blocks_btwn_output_txs_max,0.0020772066604985815,7,45.0,46.0,1.0
blocks_btwn_input_txs_mean,0.0015172718495686853,4,46.0,49.0,3.0
num_timesteps_appeared_in,0.001235965349401806,4,47.0,49.0,2.0
blocks_btwn_output_txs_min,0.0011481568613569348,6,48.0,47.0,1.0
blocks_btwn_input_txs_max,0.0008687892647671716,11,49.0,43.0,6.0
blocks_btwn_input_txs_min,0.0008375028167364281,11,50.0,43.0,7.0
blocks_btwn_input_txs_total,0.0006456936554236374,5,51.0,48.0,3.0
transacted_w_address_max,0.00039808239254846917,1,52.0,53.0,1.0
blocks_btwn_output_txs_median,0.0003741497667174097,4,53.0,49.0,4.0
transacted_w_address_min,0.0,0,54.0,54.0,0.0
transacted_w_address_median,0.0,0,54.0,54.0,0.0
