feature,mean_abs_shap,lightgbm_internal_importance,shap_rank,internal_rank,rank_difference
avg_val_received,1.8685861306506026,782,1.0,3.0,2.0
Time_Diff_between_first_and_last_(Mins),1.3166962889063445,1126,2.0,1.0,1.0
ERC20_max_val_rec,0.6405431305914342,358,3.0,11.0,8.0
Avg_min_between_received_tnx,0.5380317225887175,741,4.0,4.0,0.0
Avg_min_between_sent_tnx,0.5143847200292897,597,5.0,6.0,1.0
total_ether_received,0.4896179845175598,486,6.0,9.0,3.0
avg_val_sent,0.43929460499724043,524,7.0,8.0,1.0
total_ether_balance,0.4081397143428717,1038,8.0,2.0,6.0
total_Ether_sent,0.401397872713172,300,9.0,14.0,5.0
max_value_received,0.37464921838039533,579,10.0,7.0,3.0
Total_ERC20_tnxs,0.3538430989224775,336,11.0,13.0,2.0
ERC20_min_val_rec,0.3437196496317044,356,12.0,12.0,0.0
min_value_received,0.3304279584915613,695,13.0,5.0,8.0
ERC20_total_Ether_received,0.23272321926053668,264,14.0,15.0,1.0
ERC20_avg_val_rec,0.145493985872482,183,15.0,16.0,1.0
max_val_sent,0.12555116082889087,361,16.0,10.0,6.0
ERC20_uniq_rec_contract_addr,0.10003530729890028,98,17.0,18.0,1.0
ERC20_uniq_rec_addr,0.0654821271780838,120,18.0,17.0,1.0
ERC20_uniq_rec_token_name,0.04121941089619701,50,19.0,19.0,0.0
ERC20_total_Ether_sent_contract,0.000292832646072458,5,20.0,20.0,0.0
ERC20_uniq_sent_addr.1,7.837971579645561e-05,1,21.0,21.0,0.0
min_value_sent_to_contract,0.0,0,22.0,22.0,0.0
total_ether_sent_contracts,0.0,0,22.0,22.0,0.0
avg_value_sent_to_contract,0.0,0,22.0,22.0,0.0
max_val_sent_to_contract,0.0,0,22.0,22.0,0.0
