feature,mean_abs_shap,rf_internal_importance,shap_rank,rf_rank,rank_difference
Local_feature_53,0.03574602325504231,0.06865062132736374,1.0,1.0,0.0
Local_feature_55,0.03281989762428196,0.05613582821826225,2.0,2.0,0.0
size,0.021352462683170675,0.05108553365558304,3.0,3.0,0.0
num_output_addresses,0.016244270061038953,0.02501864279460492,4.0,9.0,5.0
Local_feature_5,0.014640377247668932,0.025832382652208278,5.0,8.0,3.0
Local_feature_90,0.014356976695876324,0.027284190240170713,6.0,7.0,1.0
Local_feature_47,0.014024567758681505,0.048226885332208605,7.0,4.0,3.0
Local_feature_76,0.013536043211230532,0.011486768340877553,8.0,21.0,13.0
Local_feature_49,0.013294591288678497,0.0365279030684866,9.0,6.0,3.0
Local_feature_14,0.013065857312734791,0.019005451440901277,10.0,12.0,2.0
Local_feature_41,0.011832505210736635,0.03738234822744021,11.0,5.0,6.0
Local_feature_52,0.011547918835705918,0.009127293433150498,12.0,27.0,15.0
Local_feature_46,0.010370852232810313,0.014203288049736567,13.0,19.0,6.0
Local_feature_18,0.010193614234864994,0.020685985889719358,14.0,11.0,3.0
Local_feature_43,0.008863199367714635,0.02380675852892666,15.0,10.0,5.0
Local_feature_59,0.007976771841901695,0.015284376616292436,16.0,17.0,1.0
Local_feature_23,0.0074589175417611574,0.014762293353067451,17.0,18.0,1.0
Aggregate_feature_39,0.007104710476386142,0.012010872949490901,18.0,20.0,2.0
Local_feature_40,0.006542802269501473,0.010484441951937625,19.0,23.0,4.0
Local_feature_65,0.006533756031888116,0.01875298574247971,20.0,13.0,7.0
Aggregate_feature_66,0.006375147433663161,0.004463164279852713,21.0,56.0,35.0
Local_feature_80,0.006166991036534332,0.006018514532878822,22.0,42.0,20.0
Aggregate_feature_45,0.006109636381385442,0.01710970600884171,23.0,14.0,9.0
Local_feature_81,0.006075977461602641,0.0050492510632465645,24.0,51.0,27.0
Local_feature_29,0.006072197967538929,0.009076581443889904,25.0,28.0,3.0
Aggregate_feature_70,0.0059645453561370364,0.008975992853699311,26.0,29.0,3.0
Local_feature_79,0.0058112054990475314,0.00695849184155056,27.0,37.0,10.0
Local_feature_61,0.005545592059953529,0.016102283164826082,28.0,15.0,13.0
Local_feature_67,0.005517792256823691,0.015367339261376295,29.0,16.0,13.0
Local_feature_77,0.005467002494491961,0.008620572805886337,30.0,31.0,1.0
Local_feature_31,0.005257343939128948,0.006554007995835921,31.0,39.0,8.0
Aggregate_feature_65,0.004665625482357911,0.003920608094384402,32.0,63.0,31.0
Local_feature_54,0.004623536273661599,0.009403945643690683,33.0,26.0,7.0
Local_feature_16,0.004447508327537373,0.004186498252453859,34.0,58.0,24.0
out_BTC_min,0.004248461522592587,0.004947056423294478,35.0,53.0,18.0
Local_feature_85,0.004142384087423104,0.007078063305993313,36.0,35.0,1.0
Aggregate_feature_63,0.004123019670315671,0.008095377366188743,37.0,32.0,5.0
num_input_addresses,0.003933216713392252,0.01030246298774753,38.0,24.0,14.0
Local_feature_83,0.0038346512572027436,0.005608041351445624,39.0,47.0,8.0
Local_feature_25,0.0038324625362937312,0.005805734960102619,40.0,44.0,4.0
fees,0.0037099605901495256,0.010992803415591643,41.0,22.0,19.0
Local_feature_2,0.0036660892326028146,0.010061899514964676,42.0,25.0,17.0
Local_feature_22,0.0036646083605780186,0.005223104975895154,43.0,49.0,6.0
Local_feature_84,0.0035639992304144436,0.006963122374489292,44.0,36.0,8.0
Aggregate_feature_46,0.003541330562153138,0.004141138097498701,45.0,59.0,14.0
Aggregate_feature_44,0.0034238450215078,0.004938127692892235,46.0,54.0,8.0
Aggregate_feature_49,0.003354902533090549,0.0046871519506808635,47.0,55.0,8.0
Aggregate_feature_68,0.003326944598877736,0.003679781390926443,48.0,65.0,17.0
Local_feature_66,0.0032201318390352868,0.008792489314915705,49.0,30.0,19.0
Aggregate_feature_51,0.0032085080197176547,0.0061289473443873355,50.0,41.0,9.0
Aggregate_feature_67,0.003167024658188469,0.0036818897320122427,51.0,64.0,13.0
Local_feature_64,0.0031473757760719034,0.0025801741857961425,52.0,81.0,29.0
Local_feature_3,0.0031336203729049957,0.0029551052230401605,53.0,75.0,22.0
Local_feature_60,0.003094407101888087,0.007886575488456393,54.0,33.0,21.0
Aggregate_feature_61,0.003084533572275454,0.005234288321568443,55.0,48.0,7.0
Local_feature_20,0.0030112339745217475,0.0030433755231055186,56.0,73.0,17.0
Local_feature_89,0.0029465271904348875,0.00395560928438417,57.0,62.0,5.0
Aggregate_feature_14,0.002835498378934988,0.0027835461225631875,58.0,77.0,19.0
total_BTC,0.00282354105724419,0.0033072688096006464,59.0,66.0,7.0
Aggregate_feature_32,0.0028022939985121193,0.0028855994976515896,60.0,76.0,16.0
Local_feature_17,0.0027583538213297944,0.0031935507654875534,61.0,68.0,7.0
Aggregate_feature_69,0.002703993899509347,0.0009436353307839209,62.0,126.0,64.0
Local_feature_6,0.002655452128147093,0.006205974618341111,63.0,40.0,23.0
Local_feature_58,0.0026209926808977344,0.0011149733389439202,64.0,121.0,57.0
Local_feature_10,0.002557745700703121,0.005223036347184275,65.0,50.0,15.0
Local_feature_4,0.00251579223503209,0.005618308739661677,66.0,46.0,20.0
Aggregate_feature_34,0.0025080722477043584,0.0025866144294642377,67.0,80.0,13.0
Local_feature_48,0.0024311552182397964,0.0031888738908259517,68.0,69.0,1.0
Local_feature_1,0.0022813760246668375,0.00271207674864071,69.0,78.0,9.0
Aggregate_feature_16,0.002244376947198,0.0020547581647955703,70.0,91.0,21.0
Local_feature_28,0.002235329209342163,0.0042516246700905315,71.0,57.0,14.0
Local_feature_9,0.002206146891389905,0.0032344223273938345,72.0,67.0,5.0
Local_feature_42,0.002155154931519704,0.004131622784393312,73.0,60.0,13.0
Aggregate_feature_43,0.0021237026261520654,0.005031385081790915,74.0,52.0,22.0
in_BTC_total,0.0021083202699167625,0.002276981208791767,75.0,86.0,11.0
in_BTC_min,0.002105402221081433,0.004011111746981785,76.0,61.0,15.0
Aggregate_feature_7,0.002081055755726602,0.006756141203359951,77.0,38.0,39.0
Aggregate_feature_8,0.0020809674737058796,0.007358677135869192,78.0,34.0,44.0
Local_feature_78,0.0020805962555654083,0.005696585597465249,79.0,45.0,34.0
out_BTC_total,0.001956145516654803,0.0024780446194494978,80.0,83.0,3.0
out_BTC_max,0.0018688363263061993,0.002667507334475042,81.0,79.0,2.0
Aggregate_feature_3,0.0018666403178812614,0.0031006185253678914,82.0,71.0,11.0
Aggregate_feature_10,0.0017837808881470993,0.005838004463088259,83.0,43.0,40.0
Local_feature_91,0.0016801626421663505,0.002063912668763516,84.0,90.0,6.0
Aggregate_feature_13,0.0016683628591341276,0.003184647174155662,85.0,70.0,15.0
Local_feature_24,0.0016567133084389625,0.0019180352116732926,86.0,94.0,8.0
Local_feature_93,0.001636886538898817,0.0016951947335714147,87.0,97.0,10.0
in_BTC_median,0.001626954831045679,0.0024100153752619788,88.0,84.0,4.0
Aggregate_feature_31,0.001599473964396746,0.0011613506385743995,89.0,118.0,29.0
out_BTC_median,0.0015967007461156868,0.0016866429458749159,90.0,98.0,8.0
Local_feature_88,0.001585207904539825,0.002066189797233496,91.0,89.0,2.0
Local_feature_11,0.0015556024963185935,0.0025245951480615102,92.0,82.0,10.0
out_BTC_mean,0.0015350648351566867,0.0017164748103608491,93.0,96.0,3.0
Aggregate_feature_37,0.001517022676461222,0.0015475680404313929,94.0,102.0,8.0
in_BTC_max,0.0015165765299539826,0.002337806177926395,95.0,85.0,10.0
Aggregate_feature_4,0.0014993188670959503,0.0016499483477847336,96.0,99.0,3.0
Local_feature_8,0.0014871704067594565,0.0030892066154821164,97.0,72.0,25.0
Aggregate_feature_57,0.001451102730328686,0.0012208986089500828,98.0,115.0,17.0
Aggregate_feature_9,0.001441290780298739,0.0013952314918228217,99.0,105.0,6.0
Aggregate_feature_2,0.001440718618424174,0.0019553329802451803,100.0,92.0,8.0
Local_feature_30,0.0014156627520776198,0.0019368625055748345,101.0,93.0,8.0
Aggregate_feature_38,0.0013564031756980468,0.001588582086518678,102.0,100.0,2.0
Aggregate_feature_48,0.0012883143976715247,0.0012717926011570155,103.0,111.0,8.0
Local_feature_86,0.0012791797460474446,0.0006698353288090074,104.0,140.0,36.0
Aggregate_feature_53,0.0012688489968959607,0.0012401462952589786,105.0,113.0,8.0
Aggregate_feature_5,0.0012685183425037675,0.0005981591302011249,106.0,144.0,38.0
in_BTC_mean,0.0012671241495654548,0.002232342813830165,107.0,88.0,19.0
Local_feature_33,0.0012666582121894524,0.0005592732007840921,108.0,149.0,41.0
Aggregate_feature_42,0.0012350397174325414,0.0008663578825072159,109.0,129.0,20.0
Local_feature_27,0.001230483643754294,0.0005871200497371985,110.0,145.0,35.0
Local_feature_87,0.001218907137679047,0.0009931839860128182,111.0,124.0,13.0
Local_feature_32,0.0012096579161406241,0.00048726841982604926,112.0,154.0,42.0
Aggregate_feature_72,0.001208452882531172,0.000766790816767115,113.0,132.0,19.0
Aggregate_feature_62,0.0011489400533873952,0.0012031418926928645,114.0,116.0,2.0
Aggregate_feature_50,0.0011213627202330272,0.0015778207011761462,115.0,101.0,14.0
Aggregate_feature_47,0.0011158464489277613,0.002970771108757796,116.0,74.0,42.0
Aggregate_feature_64,0.001104596092621527,0.0013568066787629993,117.0,106.0,11.0
Aggregate_feature_1,0.0011022794364039389,0.0013000789993787552,118.0,108.0,10.0
Aggregate_feature_40,0.001085728672234013,0.0014148803197122659,119.0,104.0,15.0
Local_feature_21,0.0010650752696866551,0.0017823646631387152,120.0,95.0,25.0
Local_feature_82,0.0010519440097673752,0.0022756832006809876,121.0,87.0,34.0
Aggregate_feature_52,0.0010510426497260755,0.0015355691512333987,122.0,103.0,19.0
Local_feature_12,0.0010208007051340175,0.0012617730509229385,123.0,112.0,11.0
Local_feature_19,0.0010178802679655478,0.0012774019157750396,124.0,110.0,14.0
Aggregate_feature_6,0.001001445035779168,0.0006355855535422042,125.0,142.0,17.0
Local_feature_13,0.000934081477635472,0.0011506323371912094,126.0,119.0,7.0
Aggregate_feature_71,0.0009106348035235644,0.0007170782724811707,127.0,136.0,9.0
