feature,mean_abs_shap,rf_internal_importance,shap_rank,rf_rank,rank_difference
transacted_w_address_total,0.03644636252598807,0.03893821861652961,1.0,7.0,6.0
first_sent_block,0.03163482270770685,0.06873727158974716,2.0,1.0,1.0
fees_min,0.028714525815910913,0.051080374875142436,3.0,2.0,1.0
fees_max,0.027598610530161407,0.042585389272104236,4.0,4.0,0.0
fees_as_share_max,0.02457412991295354,0.03040391224571925,5.0,12.0,7.0
last_block_appeared_in,0.02111304086512273,0.039048886513323784,6.0,6.0,0.0
first_block_appeared_in,0.020174039719900512,0.03859095760879047,7.0,8.0,1.0
fees_median,0.018557725742818186,0.04319740937194066,8.0,3.0,5.0
fees_as_share_total,0.018485640928464282,0.02544674219791405,9.0,18.0,9.0
fees_mean,0.01792765848120147,0.041184162665242816,10.0,5.0,5.0
first_received_block,0.016538925358052594,0.030150149143461303,11.0,13.0,2.0
fees_total,0.016281073739678045,0.03781270231263139,12.0,9.0,3.0
fees_as_share_mean,0.016024630916146376,0.023541012830210477,13.0,20.0,7.0
fees_as_share_median,0.015493245747610226,0.02537990489524196,14.0,19.0,5.0
btc_sent_max,0.014170177257432328,0.0325495384249971,15.0,11.0,4.0
btc_sent_total,0.01401308641421977,0.03450757770610973,16.0,10.0,6.0
fees_as_share_min,0.011439133569096462,0.021162076811009074,17.0,21.0,4.0
blocks_btwn_txs_max,0.01067617929153167,0.028213234162274937,18.0,15.0,3.0
btc_sent_mean,0.010352980949299793,0.01937175836164367,19.0,22.0,3.0
btc_received_mean,0.009365438272674602,0.015258888046934871,20.0,29.0,9.0
btc_received_max,0.009253561892777016,0.013576315551378424,21.0,32.0,11.0
lifetime_in_blocks,0.00916411650382215,0.02847452316230891,22.0,14.0,8.0
blocks_btwn_txs_mean,0.008814948559273372,0.02638167088465544,23.0,17.0,6.0
btc_transacted_min,0.008678802854542643,0.013576715646022855,24.0,31.0,7.0
btc_received_median,0.0084920078050519,0.014944916139812778,25.0,30.0,5.0
total_txs,0.008369491323843702,0.02817799484026467,26.0,16.0,10.0
btc_transacted_mean,0.008236497577245715,0.016863410015203015,27.0,26.0,1.0
btc_transacted_median,0.008216749727655381,0.017358826782561326,28.0,25.0,3.0
btc_transacted_total,0.008004058476323662,0.01800172494632622,29.0,24.0,5.0
btc_transacted_max,0.007959010702272153,0.01596093418598058,30.0,28.0,2.0
blocks_btwn_txs_total,0.0075507870144689015,0.018698324170022644,31.0,23.0,8.0
btc_received_total,0.007468226597488407,0.01220439041931864,32.0,34.0,2.0
btc_sent_median,0.007323509052697976,0.016496122231516752,33.0,27.0,6.0
btc_sent_min,0.0056743350373718296,0.010804360986160626,34.0,35.0,1.0
blocks_btwn_txs_median,0.004661768019914179,0.013464312497160031,35.0,33.0,2.0
btc_received_min,0.0043647599992751125,0.00765247828619763,36.0,37.0,1.0
blocks_btwn_txs_min,0.0035885538487140487,0.009952790485945434,37.0,36.0,1.0
num_txs_as_sender,0.0030671478979930637,0.006660418656463073,38.0,39.0,1.0
num_txs_as receiver,0.0030327160782296376,0.007123349163921485,39.0,38.0,1.0
num_timesteps_appeared_in,0.0008239893848707427,0.003648440650944322,40.0,40.0,0.0
transacted_w_address_mean,0.0004676208177539277,0.0013561391970124286,41.0,45.0,4.0
num_addr_transacted_multiple,0.00045281501062469613,0.0014694881861795678,42.0,44.0,2.0
blocks_btwn_output_txs_total,0.0004020938121853761,0.0022313057463141718,43.0,41.0,2.0
transacted_w_address_max,0.0003588447630586341,0.000838358102407577,44.0,47.0,3.0
blocks_btwn_output_txs_mean,0.0003526114986892401,0.0015247490593954976,45.0,43.0,2.0
blocks_btwn_output_txs_max,0.000309166099358309,0.0019442210873769677,46.0,42.0,4.0
blocks_btwn_output_txs_median,0.0003072307895957981,0.0008338057128844702,47.0,48.0,1.0
blocks_btwn_output_txs_min,0.00022483337627220113,0.0010630579057860647,48.0,46.0,2.0
blocks_btwn_input_txs_median,0.0001952985962016051,0.00024789701738885177,49.0,51.0,2.0
blocks_btwn_input_txs_mean,0.0001602065706162601,0.00034026900653364963,50.0,49.0,1.0
blocks_btwn_input_txs_max,0.0001401639790721,0.0002653352964204331,51.0,50.0,1.0
blocks_btwn_input_txs_min,0.0001320235769990376,0.00022244986238565933,52.0,53.0,1.0
blocks_btwn_input_txs_total,0.00012451146143244805,0.00024026882062686775,53.0,52.0,1.0
transacted_w_address_median,7.980306732092886e-05,0.00017009098725599833,54.0,54.0,0.0
transacted_w_address_min,4.180027171715567e-05,7.037665889804251e-05,55.0,55.0,0.0
