feature,mean_abs_shap
Time_Diff_between_first_and_last_(Mins),0.07695810687195773
Avg_min_between_received_tnx,0.05572007060011584
avg_val_received,0.054278873980289244
total_ether_received,0.04437981484438618
ERC20_max_val_rec,0.03475460374608107
ERC20_min_val_rec,0.03176128359887918
min_value_received,0.03091562336710609
total_Ether_sent,0.026949077207916363
max_value_received,0.026721350741861445
total_ether_balance,0.02518972611586929
avg_val_sent,0.022467020576144477
ERC20_total_Ether_received,0.017013764431418336
ERC20_avg_val_rec,0.01658715384177696
max_val_sent,0.01626541327428814
Total_ERC20_tnxs,0.015726614064349165
Avg_min_between_sent_tnx,0.013568170780636168
ERC20_uniq_rec_addr,0.009823825329383161
ERC20_uniq_rec_token_name,0.00868478144624328
ERC20_uniq_rec_contract_addr,0.007216868783326419
ERC20_uniq_sent_addr.1,4.669396788529926e-05
ERC20_total_Ether_sent_contract,2.194630374128812e-05
total_ether_sent_contracts,2.1564218438141274e-06
avg_value_sent_to_contract,1.6954664404135659e-06
max_val_sent_to_contract,1.603466865873263e-06
min_value_sent_to_contract,9.930534311345042e-07
