feature,mean_abs_shap,rf_internal_importance,shap_rank,rf_rank,rank_difference
Time_Diff_between_first_and_last_(Mins),0.07695810687195773,0.15550450879021332,1.0,1.0,0.0
Avg_min_between_received_tnx,0.05572007060011584,0.09242600738318606,2.0,3.0,1.0
avg_val_received,0.054278873980289244,0.09055480751132808,3.0,4.0,1.0
total_ether_received,0.04437981484438618,0.0953660172968182,4.0,2.0,2.0
ERC20_max_val_rec,0.03475460374608107,0.031427436217435836,5.0,13.0,8.0
ERC20_min_val_rec,0.03176128359887918,0.04792506823491996,6.0,9.0,3.0
min_value_received,0.03091562336710609,0.0610932709847324,7.0,7.0,0.0
total_Ether_sent,0.026949077207916363,0.06101112326426818,8.0,8.0,0.0
max_value_received,0.026721350741861445,0.06932442375630649,9.0,5.0,4.0
total_ether_balance,0.02518972611586929,0.06393238816493906,10.0,6.0,4.0
avg_val_sent,0.022467020576144477,0.040304976955137635,11.0,11.0,0.0
ERC20_total_Ether_received,0.017013764431418336,0.02560321265000231,12.0,14.0,2.0
ERC20_avg_val_rec,0.01658715384177696,0.0223832555682717,13.0,16.0,3.0
max_val_sent,0.01626541327428814,0.04074060253447578,14.0,10.0,4.0
Total_ERC20_tnxs,0.015726614064349165,0.02316929925983319,15.0,15.0,0.0
Avg_min_between_sent_tnx,0.013568170780636168,0.035255231351635316,16.0,12.0,4.0
ERC20_uniq_rec_addr,0.009823825329383161,0.016616661951861872,17.0,17.0,0.0
ERC20_uniq_rec_token_name,0.00868478144624328,0.013940956365177618,18.0,18.0,0.0
ERC20_uniq_rec_contract_addr,0.007216868783326419,0.01306412420590202,19.0,19.0,0.0
ERC20_uniq_sent_addr.1,4.669396788529926e-05,0.00024059552048514367,20.0,20.0,0.0
ERC20_total_Ether_sent_contract,2.194630374128812e-05,7.943201007449931e-05,21.0,21.0,0.0
total_ether_sent_contracts,2.1564218438141274e-06,9.954044953646403e-06,22.0,24.0,2.0
avg_value_sent_to_contract,1.6954664404135659e-06,1.0558284877689245e-05,23.0,22.0,1.0
max_val_sent_to_contract,1.603466865873263e-06,1.0407842992315232e-05,24.0,23.0,1.0
min_value_sent_to_contract,9.930534311345042e-07,5.679850171609242e-06,25.0,25.0,0.0
