feature,importance
Local_feature_89,3.929146e-06
Aggregate_feature_42,3.8801904e-06
Aggregate_feature_57,3.8679673e-06
Aggregate_feature_55,3.8159887e-06
num_input_addresses,3.8104754e-06
Local_feature_57,3.7946018e-06
Aggregate_feature_36,3.781773e-06
Aggregate_feature_41,3.7781872e-06
Local_feature_90,3.7636219e-06
Aggregate_feature_45,3.762309e-06
Local_feature_91,3.752657e-06
Local_feature_56,3.7510133e-06
Aggregate_feature_35,3.7422117e-06
Local_feature_45,3.7271311e-06
Local_feature_44,3.6900567e-06
Aggregate_feature_22,3.669764e-06
Aggregate_feature_19,3.6374715e-06
Aggregate_feature_12,3.6331137e-06
Aggregate_feature_21,3.6117606e-06
Aggregate_feature_11,3.6070944e-06
Local_feature_92,3.5986752e-06
Aggregate_feature_63,3.5851035e-06
Aggregate_feature_62,3.51265e-06
Aggregate_feature_18,3.4736138e-06
Local_feature_93,3.4457157e-06
Aggregate_feature_43,3.4439693e-06
Aggregate_feature_65,3.4302893e-06
Aggregate_feature_58,3.3978283e-06
Aggregate_feature_61,3.377419e-06
Aggregate_feature_17,3.3539957e-06
Aggregate_feature_66,3.3517233e-06
Aggregate_feature_47,3.0298354e-06
Local_feature_51,2.962524e-06
Local_feature_79,2.962373e-06
Local_feature_81,2.9424405e-06
Local_feature_77,2.864777e-06
Local_feature_85,2.8088846e-06
Local_feature_78,2.7541766e-06
Local_feature_83,2.7259555e-06
Local_feature_84,2.662973e-06
Local_feature_52,2.6485186e-06
Local_feature_80,2.6257385e-06
Aggregate_feature_49,2.4715434e-06
Local_feature_49,2.2972838e-06
Aggregate_feature_2,2.2944437e-06
Local_feature_41,2.237085e-06
Local_feature_47,2.1575622e-06
Local_feature_43,1.959275e-06
Aggregate_feature_26,1.86431e-06
Local_feature_3,1.8027944e-06
Aggregate_feature_28,1.7340574e-06
Aggregate_feature_4,1.5980172e-06
Local_feature_46,1.47896e-06
Local_feature_40,1.4595857e-06
Local_feature_26,1.4358641e-06
Local_feature_33,1.4292191e-06
Aggregate_feature_5,1.4238963e-06
Local_feature_12,1.3902015e-06
Local_feature_50,1.3756618e-06
Local_feature_27,1.3597376e-06
Aggregate_feature_64,1.343133e-06
Local_feature_13,1.3345074e-06
Local_feature_32,1.3294951e-06
Local_feature_63,1.1527178e-06
Local_feature_20,1.1475169e-06
Local_feature_21,1.0639241e-06
size,1.051671e-06
Aggregate_feature_44,1.0255565e-06
Aggregate_feature_56,1.024581e-06
Aggregate_feature_54,1.0235487e-06
Local_feature_68,1.0201785e-06
Aggregate_feature_48,1.0175063e-06
Local_feature_55,1.0131453e-06
num_output_addresses,1.0127828e-06
Aggregate_feature_6,9.78416e-07
Aggregate_feature_53,9.689516e-07
Local_feature_88,9.38529e-07
Aggregate_feature_37,9.1677947e-07
Aggregate_feature_1,9.068462e-07
Local_feature_62,9.0230833e-07
Local_feature_69,8.946904e-07
Aggregate_feature_46,8.750037e-07
Aggregate_feature_10,8.5095616e-07
Local_feature_54,8.378702e-07
Local_feature_59,8.2908815e-07
Aggregate_feature_14,8.2174574e-07
Local_feature_53,8.1302835e-07
Local_feature_65,7.9932704e-07
Aggregate_feature_50,7.9553865e-07
Aggregate_feature_60,7.830767e-07
in_BTC_min,7.7883544e-07
in_BTC_median,7.782087e-07
Aggregate_feature_71,7.780837e-07
Local_feature_66,7.780081e-07
Aggregate_feature_67,7.77137e-07
Local_feature_73,7.696862e-07
Local_feature_16,7.6845424e-07
Aggregate_feature_8,7.6546917e-07
Local_feature_14,7.640391e-07
Aggregate_feature_59,7.593073e-07
out_BTC_total,7.5698125e-07
Aggregate_feature_51,7.565621e-07
Local_feature_30,7.500023e-07
Aggregate_feature_20,7.480721e-07
Local_feature_75,7.459671e-07
Aggregate_feature_7,7.341072e-07
in_BTC_max,7.317298e-07
Aggregate_feature_29,7.3027496e-07
Aggregate_feature_9,7.279616e-07
Local_feature_37,7.268151e-07
Aggregate_feature_23,7.230034e-07
Local_feature_64,7.2213044e-07
Local_feature_9,7.1839816e-07
Local_feature_24,7.178259e-07
Local_feature_38,7.1641733e-07
Local_feature_18,7.1581775e-07
total_BTC,7.149984e-07
Aggregate_feature_27,7.116289e-07
out_BTC_mean,7.077356e-07
Aggregate_feature_52,7.056657e-07
out_txs_degree,7.0280765e-07
Aggregate_feature_24,6.986297e-07
Local_feature_35,6.9775587e-07
Local_feature_86,6.967016e-07
out_BTC_median,6.954451e-07
Local_feature_67,6.942572e-07
Local_feature_36,6.941247e-07
Aggregate_feature_31,6.912718e-07
Local_feature_71,6.9072576e-07
Local_feature_87,6.896629e-07
Local_feature_39,6.8960617e-07
Aggregate_feature_72,6.8647944e-07
Aggregate_feature_69,6.8566294e-07
Aggregate_feature_39,6.844926e-07
Local_feature_58,6.831243e-07
Local_feature_72,6.8282804e-07
in_BTC_total,6.8160034e-07
Local_feature_10,6.8144897e-07
Local_feature_4,6.807121e-07
Aggregate_feature_30,6.781618e-07
Local_feature_15,6.644366e-07
fees,6.6391385e-07
Local_feature_74,6.623053e-07
Aggregate_feature_68,6.5664176e-07
Local_feature_6,6.5510744e-07
Local_feature_42,6.5477764e-07
Aggregate_feature_3,6.541874e-07
Local_feature_70,6.5129996e-07
Local_feature_1,6.4493423e-07
out_BTC_max,6.447697e-07
Local_feature_34,6.3992485e-07
Aggregate_feature_40,6.392812e-07
Local_feature_28,6.3454695e-07
Aggregate_feature_25,6.298927e-07
Aggregate_feature_32,6.287125e-07
Local_feature_61,6.2462516e-07
out_BTC_min,6.21165e-07
Aggregate_feature_70,6.2070023e-07
Local_feature_31,6.192371e-07
Local_feature_82,6.1864097e-07
Aggregate_feature_16,6.1549866e-07
Local_feature_5,6.1399567e-07
Local_feature_19,6.134468e-07
Local_feature_76,6.0991056e-07
Aggregate_feature_33,6.098121e-07
Local_feature_60,6.0033074e-07
Local_feature_8,5.9714415e-07
Local_feature_22,5.9649733e-07
in_BTC_mean,5.9605645e-07
Aggregate_feature_38,5.935512e-07
Local_feature_7,5.9277335e-07
Local_feature_11,5.905036e-07
Local_feature_48,5.8601637e-07
Aggregate_feature_34,5.69737e-07
Local_feature_23,5.6619587e-07
Aggregate_feature_13,5.638624e-07
Local_feature_17,5.5672615e-07
Local_feature_2,5.499535e-07
Aggregate_feature_15,5.474652e-07
Local_feature_25,5.230534e-07
Local_feature_29,5.211429e-07
in_txs_degree,0.0
