wallet_index,rank_by_risk,true_label,predicted_label,original_fraud_probability,original_risk_score,counterfactual_fraud_probability,counterfactual_risk_score,risk_score_reduction,feature_changed,old_value,new_value,explanation
200663,1,1,1,1.0,100.0,0.34,34.0,65.99999999999999,fees_max,0.0223518,0.00186485,Changing fees_max from 0.0223518 to 0.00186485 reduces the fraud probability from 1.000 to 0.340.
200663,1,1,1,1.0,100.0,0.175,17.5,82.5,first_sent_block,435562.0,0.0,Changing first_sent_block from 435562.0 to 0.0 reduces the fraud probability from 1.000 to 0.175.
200663,1,1,1,1.0,100.0,0.11,11.0,89.0,first_received_block,435561.0,405312.0,Changing first_received_block from 435561.0 to 405312.0 reduces the fraud probability from 1.000 to 0.110.
200663,1,1,1,1.0,100.0,0.09,9.0,91.0,lifetime_in_blocks,1.0,0.0,Changing lifetime_in_blocks from 1.0 to 0.0 reduces the fraud probability from 1.000 to 0.090.
200663,1,1,1,1.0,100.0,0.07,7.000000000000001,93.0,blocks_btwn_txs_max,1.0,0.0,Changing blocks_btwn_txs_max from 1.0 to 0.0 reduces the fraud probability from 1.000 to 0.070.
200781,2,1,1,1.0,100.0,0.435,43.5,56.49999999999999,fees_max,0.0297582,0.00186485,Changing fees_max from 0.0297582 to 0.00186485 reduces the fraud probability from 1.000 to 0.435.
200781,2,1,1,1.0,100.0,0.225,22.5,77.5,first_sent_block,439590.0,0.0,Changing first_sent_block from 439590.0 to 0.0 reduces the fraud probability from 1.000 to 0.225.
200781,2,1,1,1.0,100.0,0.17,17.0,83.0,first_received_block,439586.0,405312.0,Changing first_received_block from 439586.0 to 405312.0 reduces the fraud probability from 1.000 to 0.170.
200781,2,1,1,1.0,100.0,0.135,13.5,86.5,lifetime_in_blocks,4.0,0.0,Changing lifetime_in_blocks from 4.0 to 0.0 reduces the fraud probability from 1.000 to 0.135.
200781,2,1,1,1.0,100.0,0.105,10.5,89.5,blocks_btwn_txs_max,4.0,0.0,Changing blocks_btwn_txs_max from 4.0 to 0.0 reduces the fraud probability from 1.000 to 0.105.
