wallet_index,rank_by_risk,true_label,predicted_label,fraud_probability,risk_score,feature_rule,lime_importance,html_file
200663,1,1,1,1.0,100.0,2.00 < transacted_w_address_total <= 6.00,-0.008149784202113998,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_1_index_200663.html
200663,1,1,1,1.0,100.0,total_txs > 1.00,-0.006331038467026759,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_1_index_200663.html
200663,1,1,1,1.0,100.0,fees_mean > 0.01,0.005649774536765402,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_1_index_200663.html
200663,1,1,1,1.0,100.0,fees_median > 0.01,0.004813775442436961,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_1_index_200663.html
200663,1,1,1,1.0,100.0,blocks_btwn_input_txs_mean <= 0.00,0.004455065327312241,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_1_index_200663.html
200663,1,1,1,1.0,100.0,blocks_btwn_input_txs_min <= 0.00,-0.004316424843294394,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_1_index_200663.html
200663,1,1,1,1.0,100.0,lifetime_in_blocks > 0.00,-0.004235599106049356,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_1_index_200663.html
200663,1,1,1,1.0,100.0,405322.00 < last_block_appeared_in <= 439584.00,-0.004228499988699769,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_1_index_200663.html
200663,1,1,1,1.0,100.0,435556.00 < first_block_appeared_in <= 469829.00,0.003459844971044216,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_1_index_200663.html
200663,1,1,1,1.0,100.0,btc_sent_min <= 0.00,-0.0031303964830643035,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_1_index_200663.html
200781,2,1,1,1.0,100.0,total_txs > 1.00,-0.005990426405456936,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_2_index_200781.html
200781,2,1,1,1.0,100.0,transacted_w_address_min <= 1.00,0.005710162691077294,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_2_index_200781.html
200781,2,1,1,1.0,100.0,lifetime_in_blocks > 0.00,-0.0049877328015393895,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_2_index_200781.html
200781,2,1,1,1.0,100.0,blocks_btwn_txs_mean > 0.00,-0.004960121412211139,C:\University\Year4\Thesis\AML-Thesis\models\rq4_risk_scoring\feature_models\random_forest_lime_elliptic-wallets-combined\lime_wallet_rank_2_index_200781.html
