wallet_index,true_label,predicted_label,fraud_probability,risk_score,risk_level,recommended_action,top_shap_drivers,top_lime_drivers,counterfactual_recommendation
200663,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,fees_mean > 0.01; fees_median > 0.01; blocks_btwn_input_txs_mean <= 0.00,Changing blocks_btwn_txs_max from 1.0 to 0.0 reduces the fraud probability from 1.000 to 0.070.; Changing lifetime_in_blocks from 1.0 to 0.0 reduces the fraud probability from 1.000 to 0.090.; Changing first_received_block from 435561.0 to 405312.0 reduces the fraud probability from 1.000 to 0.110.
200781,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,transacted_w_address_min <= 1.00; fees_mean > 0.01; 1.00 < transacted_w_address_total <= 2.00,Changing blocks_btwn_txs_max from 4.0 to 0.0 reduces the fraud probability from 1.000 to 0.105.; Changing lifetime_in_blocks from 4.0 to 0.0 reduces the fraud probability from 1.000 to 0.135.; Changing first_received_block from 439586.0 to 405312.0 reduces the fraud probability from 1.000 to 0.170.
200792,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,first_sent_block > 449664.00; first_received_block > 453697.00; fees_mean > 0.01,Changing blocks_btwn_txs_median from 6.0 to 0.0 reduces the fraud probability from 1.000 to 0.070.; Changing fees_mean from 0.02835772 to 0.00182174 reduces the fraud probability from 1.000 to 0.090.; Changing first_received_block from 455713.0 to 405312.0 reduces the fraud probability from 1.000 to 0.125.
197154,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,fees_as_share_median > 0.00; fees_as_share_min > 0.00; lifetime_in_blocks <= 0.00,Changing fees_median from 0.0002 to 0.0018092525 reduces the fraud probability from 1.000 to 0.090.; Changing num_txs_as receiver from 2.0 to 1.0 reduces the fraud probability from 1.000 to 0.140.; Changing fees_as_share_total from 0.0003966319584766 to 2.072961208590305e-05 reduces the fraud probability from 1.000 to 0.200.
197156,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,1.00 < transacted_w_address_total <= 2.00; fees_mean > 0.01; transacted_w_address_min <= 1.00,Changing lifetime_in_blocks from 3.0 to 0.0 reduces the fraud probability from 1.000 to 0.095.; Changing btc_transacted_max from 0.0067 to 0.010930635000000001 reduces the fraud probability from 1.000 to 0.115.; Changing first_received_block from 439584.0 to 405312.0 reduces the fraud probability from 1.000 to 0.145.
197225,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,first_sent_block > 449664.00; fees_as_share_max > 0.00; first_received_block > 453697.00,Changing btc_received_total from 0.0049 to 0.00045729 reduces the fraud probability from 1.000 to 0.010.; Changing btc_sent_mean from 0.00245 to 0.0 reduces the fraud probability from 1.000 to 0.015.; Changing fees_total from 0.04535938 to 0.00189014 reduces the fraud probability from 1.000 to 0.020.
205563,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,1.00 < transacted_w_address_total <= 2.00; fees_mean > 0.01; 435556.00 < first_block_appeared_in <= 469829.00,Changing lifetime_in_blocks from 1.0 to 0.0 reduces the fraud probability from 1.000 to 0.080.; Changing blocks_btwn_txs_max from 1.0 to 0.0 reduces the fraud probability from 1.000 to 0.090.; Changing first_received_block from 435561.0 to 405312.0 reduces the fraud probability from 1.000 to 0.115.
195298,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,fees_as_share_median > 0.00; fees_as_share_min > 0.00; fees_max <= 0.00,Changing fees_as_share_total from 0.0003442433995001 to 2.072961208590305e-05 reduces the fraud probability from 1.000 to 0.045.; Changing fees_as_share_median from 0.00017212169975 to 1.679122591538605e-05 reduces the fraud probability from 1.000 to 0.100.; Changing fees_as_share_mean from 0.00017212169975 to 1.789438434698425e-05 reduces the fraud probability from 1.000 to 0.150.
205577,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,1.00 < transacted_w_address_total <= 2.00; fees_total <= 0.00; btc_received_median > 0.02,Changing fees_min from 0.0001 to 0.0015755 reduces the fraud probability from 1.000 to 0.050.; Changing fees_as_share_total from 0.000282526974299 to 2.072961208590305e-05 reduces the fraud probability from 1.000 to 0.090.; Changing fees_as_share_median from 0.0001412634871495 to 1.679122591538605e-05 reduces the fraud probability from 1.000 to 0.165.
205660,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,first_received_block > 453697.00; first_sent_block > 449664.00; btc_transacted_max <= 0.00,Changing num_txs_as_sender from 1.0 to 0.0 reduces the fraud probability from 1.000 to 0.015.; Changing first_sent_block from 457731.0 to 0.0 reduces the fraud probability from 1.000 to 0.020.; Changing fees_total from 0.04500695 to 0.00189014 reduces the fraud probability from 1.000 to 0.050.
201169,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197464,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197034,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201026,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
199883,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195237,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
205071,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
205193,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
206116,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204937,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204959,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204967,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195275,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195376,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
206169,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
206197,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201372,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
196958,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
226344,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197003,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201116,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
206247,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204824,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204863,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
195224,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204917,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
206468,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204705,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
204749,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
200533,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
197686,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
201193,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
194648,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
206518,1,1,1.0,100.0,Critical,Prioritize for compliance investigation,transacted_w_address_total; first_sent_block; fees_min,,
